time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T08:53:38.760Z,33.509,-116.802,1.84,0.37,ml,18,59,0.078,0.16,ci,ci38348952,2018-11-04T08:57:25.431Z,"9km NE of Aguanga, CA",earthquake,0.25,0.46,0.092,9,automatic,ci,ci
2018-11-04T08:52:13.630Z,38.8056679,-122.8236694,0.71,0.8,md,8,89,0.00536,0.04,nc,nc73106326,2018-11-04T09:23:02.195Z,"7km WNW of The Geysers, CA",earthquake,0.29,1.11,,1,automatic,nc,nc
2018-11-04T08:51:30.700Z,33.826,-117.035,14.41,0.56,ml,18,62,0.1054,0.15,ci,ci38348944,2018-11-04T08:55:09.128Z,"8km WNW of San Jacinto, CA",earthquake,0.39,0.63,0.108,12,automatic,ci,ci
2018-11-04T08:48:05.249Z,63.0032,-150.5897,103,1.7,ml,,,,0.56,ak,ak20322737,2018-11-04T08:52:20.527Z,"79km NNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-04T08:36:15.504Z,63.1764,-150.614,126.2,2.2,ml,,,,3.28,ak,ak20322733,2018-11-04T08:42:54.379Z,"86km WSW of Cantwell, Alaska",earthquake,,2.4,,,automatic,ak,ak
2018-11-04T08:02:12.870Z,18.0366,-67.8943,63,2.7,md,22,205,0.5416,0.33,pr,pr2018308005,2018-11-04T09:29:26.040Z,"72km WSW of Stella, Puerto Rico",earthquake,1.76,1.8,0.36,20,reviewed,pr,pr
2018-11-04T07:56:24.450Z,69.5202,-145.4866,0,2.6,ml,,,,0.7,ak,ak20322341,2018-11-04T08:08:23.205Z,"98km SW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-04T07:55:50.470Z,33.49,-116.7911667,4.07,0.8,ml,34,36,0.02359,0.16,ci,ci38348928,2018-11-04T07:59:33.407Z,"9km NE of Aguanga, CA",earthquake,0.18,0.41,0.099,26,automatic,ci,ci
2018-11-04T07:55:29.330Z,7.8051,123.8717,598.1,6,mww,,22,1.844,0.78,us,us2000i6mv,2018-11-04T10:03:40.456Z,"6km SE of Sapad, Philippines",earthquake,9.2,5.4,0.052,35,reviewed,us,us
2018-11-04T07:42:42.760Z,38.8040009,-122.776001,3.35,0.93,md,12,153,0.009943,0.02,nc,nc73106301,2018-11-04T08:36:02.934Z,"3km NNW of The Geysers, CA",earthquake,0.49,0.95,0.06,2,automatic,nc,nc
2018-11-04T07:27:04.130Z,32.8408333,-115.5895,14.96,1.12,ml,15,106,0.06514,0.27,ci,ci38348920,2018-11-04T07:30:47.151Z,"2km WSW of Imperial, CA",earthquake,0.82,1.03,0.275,10,automatic,ci,ci
2018-11-04T07:24:22.420Z,33.762,-117.533,6.83,0.94,ml,23,67,0.04687,0.2,ci,ci38348912,2018-11-04T07:27:59.782Z,"12km NNE of Trabuco Canyon, CA",earthquake,0.35,0.63,0.179,21,automatic,ci,ci
2018-11-04T07:22:43.519Z,59.4603,-136.4405,3.5,2.1,ml,,,,0.67,ak,ak20322330,2018-11-04T07:31:21.139Z,"62km WNW of Haines, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-04T07:22:37.099Z,60.9468,-150.8381,18,1.9,ml,,,,0.6,ak,ak20322328,2018-11-04T07:28:39.224Z,"37km NE of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T07:10:28.300Z,18.502,-64.9033,30,2.63,md,7,343,1.0117,0.25,pr,pr2018308007,2018-11-04T10:57:23.256Z,"17km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.4,15.76,0.34,6,reviewed,pr,pr
2018-11-04T06:59:31.691Z,35.9535,-115.6157,8.2,1.2,ml,18,62.86,0.165,0.2202,nn,nn00664144,2018-11-04T14:13:32.192Z,"15km N of Sandy Valley, Nevada",earthquake,,2.8,0.45,7,reviewed,nn,nn
2018-11-04T06:22:55.863Z,61.5691,-146.4338,30,1.6,ml,,,,0.94,ak,ak20322325,2018-11-04T06:26:01.804Z,"49km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T06:20:27.190Z,31.713,-104.5523,5,2.8,ml,,106,0.493,0.36,us,us2000i6lz,2018-11-04T06:32:00.040Z,"76km SW of Loving, New Mexico",earthquake,3.3,1.1,0.071,26,reviewed,us,us
2018-11-04T06:13:45.240Z,17.9938,-65.344,21,1.92,md,4,346,0.6786,0.18,pr,pr2018308006,2018-11-04T09:17:26.453Z,"17km SE of Esperanza, Puerto Rico",earthquake,3.67,16.51,0.02,3,reviewed,pr,pr
2018-11-04T06:06:42.070Z,33.9733333,-116.9781667,1.37,0.71,ml,16,115,0.205,0.18,ci,ci38348880,2018-11-04T06:10:15.009Z,"5km N of Beaumont, CA",earthquake,0.51,2.22,0.199,20,automatic,ci,ci
2018-11-04T06:06:15.855Z,61.9834,-150.8915,60.3,1.4,ml,,,,0.43,ak,ak20322323,2018-11-04T06:09:11.650Z,"52km WNW of Willow, Alaska",earthquake,,1.4,,,automatic,ak,ak
2018-11-04T06:05:26.114Z,37.1707,-117.3961,0,1.2,ml,24,115.23,0.176,0.1702,nn,nn00664137,2018-11-04T13:45:51.896Z,"61km SSW of Goldfield, Nevada",earthquake,,0,0.24,13,reviewed,nn,nn
2018-11-04T05:58:57.340Z,36.5553,-112.7781,5,2.5,ml,,60,0.412,0.44,us,us2000i6ln,2018-11-04T06:14:16.040Z,"48km SSW of Fredonia, Arizona",earthquake,2.1,1.9,0.053,46,reviewed,us,us
2018-11-04T05:55:37.330Z,18.0366,-67.097,2,2.1,md,3,162,0.0327,0.14,pr,pr2018308004,2018-11-04T09:12:21.421Z,"2km W of Palmarejo, Puerto Rico",earthquake,0.85,1.72,0.11,3,reviewed,pr,pr
2018-11-04T05:54:45.045Z,62.0443,-153.254,0,1.6,ml,,,,0.61,ak,ak20322321,2018-11-04T05:57:54.911Z,"157km SE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T05:48:03.184Z,63.2604,-151.1463,5.5,1.1,ml,,,,0.26,ak,ak20322319,2018-11-04T05:53:11.878Z,"110km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-04T05:44:10.565Z,61.6008,-150.8639,59.3,1.6,ml,,,,0.79,ak,ak20322316,2018-11-04T05:49:49.423Z,"46km WSW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-04T05:43:33.460Z,34.0241667,-116.7455,16.98,1.31,ml,47,70,0.05287,0.19,ci,ci38348872,2018-11-04T05:47:33.159Z,"12km NNE of Cabazon, CA",earthquake,0.22,0.57,0.114,27,automatic,ci,ci
2018-11-04T05:23:39.790Z,33.4853333,-116.7873333,4.94,0.78,ml,35,38,0.02908,0.16,ci,ci38348848,2018-11-04T05:27:24.699Z,"9km ENE of Aguanga, CA",earthquake,0.18,0.66,0.133,25,automatic,ci,ci
2018-11-04T05:20:00.310Z,19.326334,-155.1433258,1.65,2.19,ml,44,103,0.04245,0.17,hv,hv70672906,2018-11-04T05:25:46.870Z,"15km SE of Volcano, Hawaii",earthquake,0.34,0.52,0.24,22,automatic,hv,hv
2018-11-04T05:16:15.010Z,34.0375,-116.7843333,13.06,1.74,ml,68,35,0.01961,0.21,ci,ci38348840,2018-11-04T05:27:07.760Z,"13km N of Cabazon, CA",earthquake,0.21,0.5,0.195,25,automatic,ci,ci
2018-11-04T05:09:03.720Z,36.0106659,-120.5736694,3.63,2.02,md,27,66,0.03007,0.06,nc,nc73106256,2018-11-04T05:29:02.529Z,"18km NW of Parkfield, CA",earthquake,0.27,0.43,0.21,12,automatic,nc,nc
2018-11-04T05:07:03.910Z,35.3891667,-118.2745,8.37,1.25,ml,18,96,0.1544,0.14,ci,ci38348824,2018-11-04T05:10:42.157Z,"30km SE of Bodfish, CA",earthquake,0.26,1.1,0.234,22,automatic,ci,ci
2018-11-04T05:01:40.500Z,32.9356667,-116.2765,7,1.13,ml,32,87,0.1301,0.19,ci,ci38348816,2018-11-04T05:12:58.470Z,"27km SSW of Ocotillo Wells, CA",earthquake,0.27,1.18,0.168,26,automatic,ci,ci
2018-11-04T04:54:37.030Z,33.4905,-116.785,3.54,0.81,ml,35,37,0.0253,0.17,ci,ci38348808,2018-11-04T04:58:19.482Z,"9km NE of Aguanga, CA",earthquake,0.19,0.55,0.124,26,automatic,ci,ci
2018-11-04T04:51:38.500Z,19.4046669,-155.2788391,0.4,1.87,ml,19,50,0.01047,0.14,hv,hv70672871,2018-11-04T04:57:37.730Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.25,0.27,13,automatic,hv,hv
2018-11-04T04:44:48.050Z,34.0501667,-116.984,25.05,1.05,ml,14,112,0.1285,0.2,ci,ci38348800,2018-11-04T04:48:33.712Z,"6km ENE of Yucaipa, CA",earthquake,0.91,1.55,0.315,17,automatic,ci,ci
2018-11-04T04:10:34.957Z,63.2059,-150.3652,113,2,ml,,,,0.55,ak,ak20321957,2018-11-04T04:17:06.556Z,"73km WSW of Cantwell, Alaska",earthquake,,1.8,,,automatic,ak,ak
2018-11-04T04:02:11.360Z,34.1218333,-116.87,12.11,1.73,ml,64,48,0.1007,0.19,ci,ci38348776,2018-11-04T04:13:11.870Z,"14km SSE of Big Bear Lake, CA",earthquake,0.24,0.62,0.145,24,automatic,ci,ci
2018-11-04T04:02:06.720Z,33.7938333,-116.7555,4.75,0.55,ml,22,79,0.05792,0.37,ci,ci38348768,2018-11-04T04:05:48.460Z,"7km NNW of Idyllwild, CA",earthquake,0.74,3.21,0.189,6,automatic,ci,ci
2018-11-04T03:49:14.580Z,19.3893337,-154.9536591,0.03,1.72,md,16,193,0.0651,0.31,hv,hv70672776,2018-11-04T03:52:32.970Z,"9km SSW of Leilani Estates, Hawaii",earthquake,0.98,0.46,0.07,12,automatic,hv,hv
2018-11-04T03:49:01.740Z,19.5098324,-155.6516724,-2.01,2.29,ml,39,69,0.032,0.27,hv,hv70672771,2018-11-04T03:54:43.830Z,"23km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.55,0.31,12,automatic,hv,hv
2018-11-04T03:30:41.851Z,60.1466,-139.4946,0,1.6,ml,,,,0.88,ak,ak20321949,2018-11-04T03:35:12.437Z,"68km N of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-04T03:28:14.040Z,33.4961667,-116.7985,2.96,0.21,ml,15,111,0.01623,0.12,ci,ci38348752,2018-11-04T03:31:54.947Z,"9km NE of Aguanga, CA",earthquake,0.3,0.67,0.092,4,automatic,ci,ci
2018-11-04T03:26:46.650Z,18.0271,-67.1656,5,1.65,md,4,271,0.0597,0.14,pr,pr2018308003,2018-11-04T09:11:52.789Z,"0km E of Boqueron, Puerto Rico",earthquake,1.65,0.48,0.05,3,reviewed,pr,pr
2018-11-04T03:16:17.650Z,37.0562,-115.1017,12.4,1.1,ml,13,158.38,0.352,0.54,nn,nn00664119,2018-11-04T03:17:40.758Z,"34km S of Alamo, Nevada",earthquake,,13.2,,,automatic,nn,nn
2018-11-04T03:12:45.310Z,37.5332,20.5951,10,4.9,mb,,69,2.02,1.42,us,us2000i6kw,2018-11-04T03:47:59.600Z,"29km SW of Mouzaki, Greece",earthquake,6.4,1.9,0.063,78,reviewed,us,us
2018-11-04T03:04:31.670Z,37.2147,20.6999,10,4.6,mb,,102,2.217,1.32,us,us2000i6ks,2018-11-04T03:25:37.040Z,"56km SSW of Lithakia, Greece",earthquake,5.7,1.9,0.1,30,reviewed,us,us
2018-11-04T03:00:56.770Z,40.3961678,-122.0185013,9.58,1.87,md,14,147,0.1529,0.03,nc,nc73106241,2018-11-04T03:41:02.867Z,"13km W of Manton, CA",earthquake,0.43,1.01,0.18,12,automatic,nc,nc
2018-11-04T03:00:08.350Z,28.9604,-97.9084,14.28,2.8,ml,,104,0.136,0.75,us,us2000i6kn,2018-11-04T12:54:02.965Z,"8km N of Karnes City, Texas",earthquake,3.7,7.3,0.181,4,reviewed,us,us
2018-11-04T02:59:24.280Z,33.5073333,-116.8063333,2.6,0.01,ml,14,88,0.08172,0.15,ci,ci38348736,2018-11-04T03:03:12.304Z,"9km NE of Aguanga, CA",earthquake,0.32,0.57,0.093,5,automatic,ci,ci
2018-11-04T02:40:32.790Z,19.283,-68.2985,26,3.12,md,3,239,1.7445,0.31,pr,pr2018308002,2018-11-04T06:13:16.096Z,"78km N of Punta Cana, Dominican Republic",earthquake,4.35,26.17,0.04,3,reviewed,pr,pr
2018-11-04T02:16:12.150Z,36.0223333,-117.8195,0.46,1.08,ml,17,78,0.04069,0.15,ci,ci38348720,2018-11-04T02:19:48.848Z,"12km ESE of Coso Junction, CA",earthquake,0.23,0.39,0.181,19,automatic,ci,ci
2018-11-04T02:14:22.095Z,59.7308,-152.7302,60.4,2.2,ml,,,,1.07,ak,ak20321611,2018-11-04T02:19:10.163Z,"50km W of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-11-04T02:10:44.120Z,35.7668,-97.9442,3.58,2.3,mb_lg,,50,0.19,0.3,us,us2000i6kd,2018-11-04T06:39:16.409Z,"5km NNE of Okarche, Oklahoma",earthquake,1,4.3,0.142,13,reviewed,us,us
2018-11-04T02:05:45.640Z,34.1408333,-117.767,2.13,1.63,ml,43,24,0.09217,0.25,ci,ci38348712,2018-11-04T02:32:41.800Z,"4km N of La Verne, CA",earthquake,0.24,0.61,0.144,26,automatic,ci,ci
2018-11-04T01:53:27.620Z,33.482,-116.7895,4.08,0.62,ml,24,39,0.03162,0.2,ci,ci38348696,2018-11-04T01:57:09.698Z,"8km ENE of Aguanga, CA",earthquake,0.3,0.65,0.121,22,automatic,ci,ci
2018-11-04T01:44:44.910Z,18.0186,-67.1765,6,2.47,md,19,211,0.068,0.13,pr,pr2018308000,2018-11-04T04:16:18.925Z,"1km SW of Boqueron, Puerto Rico",earthquake,0.59,0.36,0.31,19,reviewed,pr,pr
