time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T05:44:10.565Z,61.6008,-150.8639,59.3,1.6,ml,,,,0.79,ak,ak20322316,2018-11-04T05:49:49.423Z,"46km WSW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-04T05:43:33.460Z,34.0241667,-116.7455,16.98,1.31,ml,47,70,0.05287,0.19,ci,ci38348872,2018-11-04T05:47:33.159Z,"12km NNE of Cabazon, CA",earthquake,0.22,0.57,0.114,27,automatic,ci,ci
2018-11-04T05:23:39.790Z,33.4853333,-116.7873333,4.94,0.78,ml,35,38,0.02908,0.16,ci,ci38348848,2018-11-04T15:51:51.530Z,"9km ENE of Aguanga, CA",earthquake,0.18,0.66,0.133,25,reviewed,ci,ci
2018-11-04T05:20:00.310Z,19.326334,-155.1433258,1.65,2.19,ml,44,103,0.04245,0.17,hv,hv70672906,2018-11-04T05:25:46.870Z,"15km SE of Volcano, Hawaii",earthquake,0.34,0.52,0.24,22,automatic,hv,hv
2018-11-04T05:16:15.010Z,34.0375,-116.7843333,13.06,1.74,ml,68,35,0.01961,0.21,ci,ci38348840,2018-11-04T05:27:07.760Z,"13km N of Cabazon, CA",earthquake,0.21,0.5,0.195,25,automatic,ci,ci
2018-11-04T05:09:03.720Z,36.0106659,-120.5736694,3.63,2.02,md,27,66,0.03007,0.06,nc,nc73106256,2018-11-04T05:29:02.529Z,"18km NW of Parkfield, CA",earthquake,0.27,0.43,0.21,12,automatic,nc,nc
2018-11-04T05:07:03.910Z,35.3891667,-118.2745,8.37,1.25,ml,18,96,0.1544,0.14,ci,ci38348824,2018-11-04T15:51:29.837Z,"30km SE of Bodfish, CA",earthquake,0.26,1.1,0.234,22,reviewed,ci,ci
2018-11-04T05:01:40.500Z,32.9356667,-116.2765,7,1.13,ml,32,87,0.1301,0.19,ci,ci38348816,2018-11-04T15:51:54.870Z,"27km SSW of Ocotillo Wells, CA",earthquake,0.27,1.18,0.168,26,reviewed,ci,ci
2018-11-04T04:54:37.030Z,33.4905,-116.785,3.54,0.81,ml,35,37,0.0253,0.17,ci,ci38348808,2018-11-04T15:52:59.250Z,"9km NE of Aguanga, CA",earthquake,0.19,0.55,0.124,26,reviewed,ci,ci
2018-11-04T04:51:38.500Z,19.4046669,-155.2788391,0.4,1.87,ml,19,50,0.01047,0.14,hv,hv70672871,2018-11-04T04:57:37.730Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.25,0.27,13,automatic,hv,hv
2018-11-04T04:23:09.473Z,36.694,-115.4842,14.3,1.1,ml,10,167.1,0.324,0.1609,nn,nn00664175,2018-11-04T16:41:04.394Z,"62km NW of Nellis Air Force Base, Nevada",earthquake,,6.5,1.07,2,reviewed,nn,nn
2018-11-04T04:10:34.957Z,63.2059,-150.3652,113,2,ml,,,,0.55,ak,ak20321957,2018-11-04T04:17:06.556Z,"73km WSW of Cantwell, Alaska",earthquake,,1.8,,,automatic,ak,ak
2018-11-04T04:02:11.360Z,34.1218333,-116.87,12.11,1.73,ml,64,48,0.1007,0.19,ci,ci38348776,2018-11-04T04:13:11.870Z,"14km SSE of Big Bear Lake, CA",earthquake,0.24,0.62,0.145,24,automatic,ci,ci
2018-11-04T03:49:14.580Z,19.3893337,-154.9536591,0.03,1.72,md,16,193,0.0651,0.31,hv,hv70672776,2018-11-04T03:52:32.970Z,"9km SSW of Leilani Estates, Hawaii",earthquake,0.98,0.46,0.07,12,automatic,hv,hv
2018-11-04T03:49:01.740Z,19.5098324,-155.6516724,-2.01,2.29,ml,39,69,0.032,0.27,hv,hv70672771,2018-11-04T03:54:43.830Z,"23km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.55,0.31,12,automatic,hv,hv
2018-11-04T03:30:41.851Z,60.1466,-139.4946,0,1.6,ml,,,,0.88,ak,ak20321949,2018-11-04T03:35:12.437Z,"68km N of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-04T03:30:31.339Z,38.3724,-118.9048,8.7,0.8,ml,7,143.3,0.337,0.1504,nn,nn00664174,2018-11-04T16:28:45.990Z,"29km SW of Hawthorne, Nevada",earthquake,,5.5,0.29,4,reviewed,nn,nn
2018-11-04T03:28:14.040Z,33.4961667,-116.7985,2.96,0.21,ml,15,111,0.01623,0.12,ci,ci38348752,2018-11-04T03:31:54.947Z,"9km NE of Aguanga, CA",earthquake,0.3,0.67,0.092,4,automatic,ci,ci
2018-11-04T03:26:46.650Z,18.0271,-67.1656,5,1.65,md,4,271,0.0597,0.14,pr,pr2018308003,2018-11-04T09:11:52.789Z,"0km E of Boqueron, Puerto Rico",earthquake,1.65,0.48,0.05,3,reviewed,pr,pr
